Extensometer Strain (1e-6),Engineering Stress (MPa)
11755,120.49977
11739,119.42964
11720,118.20075
11708,117.36693
11687,116.11047
11673,115.12377
11657,114.06748
11641,112.91631
11623,111.96186
11605,110.82008
11591,109.81596
11573,108.79532
11560,107.71962
11540,106.51875
11526,105.52139
11509,104.46671
11494,103.48889
11477,102.52101
11460,101.39954
11448,100.53497
11430,99.42919
11416,98.47595
11401,97.57302
11382,96.36234
11369,95.60113
11354,94.46767
11338,93.53943
11324,92.60053
11303,91.32475
11293,90.60611
11275,89.37601
11259,88.49074
11246,87.5928
11225,86.26538
11216,85.62641
11195,84.38493
11182,83.48984
11169,82.54797
11151,81.29032
11139,80.65979
11119,79.42614
11106,78.52013
11092,77.55736
11071,76.2873
11060,75.61993
11042,74.3483
11029,73.50462
11014,72.53944
10996,71.39056
10984,70.59952
10964,69.36406
10949,68.4875
10936,67.58526
10919,66.5311
10905,65.61077
10890,64.55066
10872,63.54617
10858,62.56411
10842,61.56799
10825,60.53526
10812,59.59602
10798,58.57641
10779,57.60838
10765,56.7156
10749,55.5424
10737,54.72532
10717,53.65413
10702,52.69857
10689,51.81131
10671,50.62502
10662,49.87617
10641,48.71293
10627,47.73863
10614,46.87728
10592,45.57415
10584,44.98354
10564,43.81022
10551,42.8716
10537,42.01122
10519,40.73556
10510,40.13599
10493,38.91872
10477,38.04494
10465,37.19613
10444,35.93793
10434,35.25346
10415,34.05443
10402,33.1875
10388,32.28114
10369,31.10084
10357,30.4098
10339,29.24481
10324,28.33835
10311,27.45102
10296,26.40308
10285,25.54601
10267,24.49278
10253,23.61917
10238,22.69516
10223,21.71446
10209,20.77374
10195,19.81107
10181,18.84177
10167,17.94249
10153,17.04719
10138,16.03296
10125,15.21027
10111,14.24375
10096,13.39043
10086,12.5364
10068,11.48554
10058,10.81363
10045,9.85303
10030,8.95934
10017,8.20578
10001,7.07307
9992,6.48572
9979,5.48261
9965,4.68922
9956,3.96706
9956,3.94712
9956,3.93703
9945,3.1305
9949,3.31994
9946,3.46759
9945,3.60358
9948,3.71007
9948,3.81797
9947,3.9155
9949,4.00729
9951,4.09336
9952,4.18349
9952,4.18471
9955,4.48354
9974,5.93629
9992,7.39051
10006,8.41963
10019,9.55152
10035,10.76543
10049,11.70753
10064,13.02351
10077,14.01666
10094,15.18952
10110,16.39918
10120,17.40631
10142,18.80069
10153,19.75874
10170,21.01883
10187,22.19521
10200,23.24914
10219,24.63152
10231,25.55844
10249,26.88714
10268,28.00374
10280,29.07633
10299,30.40016
