True Stress (Mpa),True Strain (microstrain)
278.6614178,21114.5115
278.7234173,21185.98374
278.9961551,21257.45088
279.1581232,21327.93401
279.0821029,21394.49685
279.0641751,21467.90662
279.2045146,21541.31099
279.3318226,21610.7955
279.2808543,21679.29662
279.3092825,21744.85759
279.4942928,21813.34954
279.6637266,21886.72856
279.673475,21955.21079
279.7732542,22027.60119
279.8228147,22100.96449
279.8120473,22165.51974
279.8509025,22232.02686
279.9667287,22302.44133
280.2304441,22375.78447
280.2063004,22446.18883
280.1461664,22531.25415
280.3434598,22604.58051
280.4469348,22673.0136
280.3609905,22737.53193
280.3548682,22804.00102
280.5846531,22877.30738
280.8132036,22948.65375
280.7903947,23019.01779
280.7109555,23090.35405
280.8960964,23163.63943
280.9970544,23233.01131
281.0035801,23301.4014
281.0088013,23365.87921
281.2073172,23442.0749
281.3100815,23507.5204
281.3620844,23578.82182
